level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n,syntax_ok_count,syntax_ok_rate,satisfiable_count,satisfiable_rate,deterministic_count,deterministic_rate,all_checks_passed_count,all_checks_passed_rate,nonzero_rows_count,nonzero_rows_rate,avg_rows
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,nen,cot,,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,18.0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,ttl,0_shot,,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,13.3333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,ttl,cot,,,30,29,0.9667,21,0.7,29,0.9667,21,0.7,21,0.7,14.3333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,axiom,0_shot,,,30,29,0.9667,17,0.5667,29,0.9667,17,0.5667,17,0.5667,11.3333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,axiom,cot,,,30,30,1.0,21,0.7,30,1.0,21,0.7,21,0.7,12.0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,nen,0_shot,,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,14.3333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,nen,cot,,,30,30,1.0,23,0.7667,29,0.9667,23,0.7667,23,0.7667,13.0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,ttl,0_shot,,,30,30,1.0,18,0.6,30,1.0,18,0.6,18,0.6,11.7
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_shallow,ttl,cot,,,30,30,1.0,21,0.7,30,1.0,21,0.7,21,0.7,11.3333
kg__representation__prompt_type,kg|representation|prompt_type,kwg,axiom,0_shot,,,30,30,1.0,11,0.3667,30,1.0,11,0.3667,11,0.3667,119.5333
kg__representation__prompt_type,kg|representation|prompt_type,kwg,axiom,cot,,,30,30,1.0,19,0.6333,30,1.0,19,0.6333,19,0.6333,168.9333
kg__representation__prompt_type,kg|representation|prompt_type,kwg,nen,0_shot,,,30,30,1.0,8,0.2667,30,1.0,8,0.2667,8,0.2667,258.8667
kg__representation__prompt_type,kg|representation|prompt_type,kwg,nen,cot,,,30,30,1.0,11,0.3667,30,1.0,11,0.3667,12,0.4,158.4
kg__representation__prompt_type,kg|representation|prompt_type,kwg,ttl,0_shot,,,30,29,0.9667,11,0.3667,29,0.9667,11,0.3667,12,0.4,82.7
kg__representation__prompt_type,kg|representation|prompt_type,kwg,ttl,cot,,,30,29,0.9667,16,0.5333,29,0.9667,16,0.5333,16,0.5333,176.5667
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,axiom,0_shot,,,30,30,1.0,23,0.7667,30,1.0,23,0.7667,23,0.7667,39.1
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,axiom,cot,,,30,29,0.9667,28,0.9333,28,0.9333,27,0.9,28,0.9333,20.4333
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,nen,0_shot,,,30,30,1.0,17,0.5667,30,1.0,17,0.5667,17,0.5667,30.1
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,nen,cot,,,30,30,1.0,19,0.6333,30,1.0,19,0.6333,19,0.6333,16.1333
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,ttl,0_shot,,,30,30,1.0,17,0.5667,30,1.0,17,0.5667,17,0.5667,28.6667
kg__representation__prompt_type,kg|representation|prompt_type,kwg_lite,ttl,cot,,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,16.3
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,axiom,,temp0.0,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,25,0.8333,16.0333
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,axiom,,temp1.0,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,17.0333
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,nen,,temp0.0,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,17.3667
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,nen,,temp1.0,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,17.3333
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,ttl,,temp0.0,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,14.0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,ttl,,temp1.0,,30,29,0.9667,21,0.7,29,0.9667,21,0.7,21,0.7,13.6667
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,axiom,,temp0.0,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,12.3333
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,axiom,,temp1.0,,30,29,0.9667,18,0.6,29,0.9667,18,0.6,18,0.6,11.0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,nen,,temp0.0,,30,30,1.0,23,0.7667,30,1.0,23,0.7667,23,0.7667,15.3333
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,nen,,temp1.0,,30,30,1.0,20,0.6667,29,0.9667,20,0.6667,20,0.6667,12.0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,ttl,,temp0.0,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,11.7
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_shallow,ttl,,temp1.0,,30,30,1.0,19,0.6333,30,1.0,19,0.6333,19,0.6333,11.3333
kg__representation__temperature_label,kg|representation|temperature_label,kwg,axiom,,temp0.0,,30,30,1.0,15,0.5,30,1.0,15,0.5,15,0.5,100.7
kg__representation__temperature_label,kg|representation|temperature_label,kwg,axiom,,temp1.0,,30,30,1.0,15,0.5,30,1.0,15,0.5,15,0.5,187.7667
kg__representation__temperature_label,kg|representation|temperature_label,kwg,nen,,temp0.0,,30,30,1.0,10,0.3333,30,1.0,10,0.3333,11,0.3667,153.1333
kg__representation__temperature_label,kg|representation|temperature_label,kwg,nen,,temp1.0,,30,30,1.0,9,0.3,30,1.0,9,0.3,9,0.3,264.1333
kg__representation__temperature_label,kg|representation|temperature_label,kwg,ttl,,temp0.0,,30,29,0.9667,12,0.4,29,0.9667,12,0.4,12,0.4,179.0333
kg__representation__temperature_label,kg|representation|temperature_label,kwg,ttl,,temp1.0,,30,29,0.9667,15,0.5,29,0.9667,15,0.5,16,0.5333,80.2333
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,axiom,,temp0.0,,30,30,1.0,25,0.8333,30,1.0,25,0.8333,25,0.8333,25.7667
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,axiom,,temp1.0,,30,29,0.9667,26,0.8667,28,0.9333,25,0.8333,26,0.8667,33.7667
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,nen,,temp0.0,,30,30,1.0,16,0.5333,30,1.0,16,0.5333,16,0.5333,9.9333
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,nen,,temp1.0,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,36.3
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,ttl,,temp0.0,,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,12.5
kg__representation__temperature_label,kg|representation|temperature_label,kwg_lite,ttl,,temp1.0,,30,30,1.0,23,0.7667,30,1.0,23,0.7667,23,0.7667,32.4667
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_rich,,0_shot,temp0.0,,45,45,1.0,35,0.7778,45,1.0,35,0.7778,34,0.7556,14.9111
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_rich,,0_shot,temp1.0,,45,45,1.0,37,0.8222,45,1.0,37,0.8222,37,0.8222,16.0
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_rich,,cot,temp0.0,,45,45,1.0,37,0.8222,45,1.0,37,0.8222,37,0.8222,16.6889
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_rich,,cot,temp1.0,,45,44,0.9778,36,0.8,44,0.9778,36,0.8,36,0.8,16.0222
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_shallow,,0_shot,temp0.0,,45,45,1.0,30,0.6667,45,1.0,30,0.6667,30,0.6667,13.8
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_shallow,,0_shot,temp1.0,,45,44,0.9778,25,0.5556,44,0.9778,25,0.5556,25,0.5556,11.1111
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_shallow,,cot,temp0.0,,45,45,1.0,33,0.7333,45,1.0,33,0.7333,33,0.7333,12.4444
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,core_scholar_shallow,,cot,temp1.0,,45,45,1.0,32,0.7111,44,0.9778,32,0.7111,32,0.7111,11.7778
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg,,0_shot,temp0.0,,45,44,0.9778,15,0.3333,44,0.9778,15,0.3333,15,0.3333,96.6
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg,,0_shot,temp1.0,,45,45,1.0,15,0.3333,45,1.0,15,0.3333,16,0.3556,210.8
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg,,cot,temp0.0,,45,45,1.0,22,0.4889,45,1.0,22,0.4889,23,0.5111,191.9778
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg,,cot,temp1.0,,45,44,0.9778,24,0.5333,44,0.9778,24,0.5333,24,0.5333,143.9556
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg_lite,,0_shot,temp0.0,,45,45,1.0,25,0.5556,45,1.0,25,0.5556,25,0.5556,15.2
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg_lite,,0_shot,temp1.0,,45,45,1.0,32,0.7111,45,1.0,32,0.7111,32,0.7111,50.0444
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg_lite,,cot,temp0.0,,45,45,1.0,36,0.8,45,1.0,36,0.8,36,0.8,16.9333
kg__prompt_type__temperature_label,kg|prompt_type|temperature_label,kwg_lite,,cot,temp1.0,,45,44,0.9778,37,0.8222,43,0.9556,36,0.8,37,0.8222,18.3111
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,0_shot,,complex,40,39,0.975,11,0.275,39,0.975,11,0.275,10,0.25,4.0
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,cot,,complex,40,39,0.975,20,0.5,38,0.95,19,0.475,20,0.5,9.8
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,0_shot,,complex,40,40,1.0,13,0.325,40,1.0,13,0.325,13,0.325,6.275
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,cot,,complex,40,40,1.0,13,0.325,39,0.975,13,0.325,13,0.325,6.925
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,0_shot,,complex,40,40,1.0,12,0.3,40,1.0,12,0.3,12,0.3,4.025
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,cot,,complex,40,38,0.95,10,0.25,38,0.95,10,0.25,10,0.25,6.05
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,0_shot,,moderate,40,40,1.0,29,0.725,40,1.0,29,0.725,29,0.725,32.3
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,cot,,moderate,40,40,1.0,37,0.925,40,1.0,37,0.925,37,0.925,27.575
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,0_shot,,moderate,40,40,1.0,23,0.575,40,1.0,23,0.575,23,0.575,28.55
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,cot,,moderate,40,40,1.0,31,0.775,40,1.0,31,0.775,32,0.8,23.675
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,0_shot,,moderate,40,39,0.975,23,0.575,39,0.975,23,0.575,24,0.6,28.5
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,cot,,moderate,40,40,1.0,38,0.95,40,1.0,38,0.95,38,0.95,28.875
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,0_shot,,simple,40,40,1.0,37,0.925,40,1.0,37,0.925,37,0.925,103.425
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,axiom,cot,,simple,40,40,1.0,37,0.925,40,1.0,37,0.925,37,0.925,126.2
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,0_shot,,simple,40,40,1.0,35,0.875,40,1.0,35,0.875,35,0.875,205.175
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,nen,cot,,simple,40,40,1.0,35,0.875,40,1.0,35,0.875,35,0.875,123.55
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,0_shot,,simple,40,40,1.0,31,0.775,40,1.0,31,0.775,31,0.775,69.775
cq_complexity__representation__prompt_type,cq_complexity|representation|prompt_type,,ttl,cot,,simple,40,40,1.0,36,0.9,40,1.0,36,0.9,36,0.9,128.975
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp0.0,complex,40,40,1.0,16,0.4,40,1.0,16,0.4,15,0.375,6.1
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp1.0,complex,40,38,0.95,15,0.375,37,0.925,14,0.35,15,0.375,7.7
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp0.0,complex,40,40,1.0,14,0.35,40,1.0,14,0.35,14,0.35,6.5
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp1.0,complex,40,40,1.0,12,0.3,39,0.975,12,0.3,12,0.3,6.7
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp0.0,complex,40,40,1.0,11,0.275,40,1.0,11,0.275,11,0.275,5.275
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp1.0,complex,40,38,0.95,11,0.275,38,0.95,11,0.275,11,0.275,4.8
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp0.0,moderate,40,40,1.0,33,0.825,40,1.0,33,0.825,33,0.825,26.925
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp1.0,moderate,40,40,1.0,33,0.825,40,1.0,33,0.825,33,0.825,32.95
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp0.0,moderate,40,40,1.0,26,0.65,40,1.0,26,0.65,27,0.675,17.025
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp1.0,moderate,40,40,1.0,28,0.7,40,1.0,28,0.7,28,0.7,35.2
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp0.0,moderate,40,39,0.975,29,0.725,39,0.975,29,0.725,29,0.725,20.4
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp1.0,moderate,40,40,1.0,32,0.8,40,1.0,32,0.8,33,0.825,36.975
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp0.0,simple,40,40,1.0,37,0.925,40,1.0,37,0.925,37,0.925,83.1
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,axiom,,temp1.0,simple,40,40,1.0,37,0.925,40,1.0,37,0.925,37,0.925,146.525
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp0.0,simple,40,40,1.0,35,0.875,40,1.0,35,0.875,35,0.875,123.3
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,nen,,temp1.0,simple,40,40,1.0,35,0.875,40,1.0,35,0.875,35,0.875,205.425
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp0.0,simple,40,40,1.0,32,0.8,40,1.0,32,0.8,32,0.8,137.25
cq_complexity__representation__temperature_label,cq_complexity|representation|temperature_label,,ttl,,temp1.0,simple,40,40,1.0,35,0.875,40,1.0,35,0.875,35,0.875,61.5
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp0.0,complex,60,60,1.0,19,0.3167,60,1.0,19,0.3167,18,0.3,4.8667
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp1.0,complex,60,59,0.9833,17,0.2833,59,0.9833,17,0.2833,17,0.2833,4.6667
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp0.0,complex,60,60,1.0,22,0.3667,60,1.0,22,0.3667,22,0.3667,7.05
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp1.0,complex,60,57,0.95,21,0.35,55,0.9167,20,0.3333,21,0.35,8.1333
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp0.0,moderate,60,59,0.9833,35,0.5833,59,0.9833,35,0.5833,35,0.5833,16.8833
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp1.0,moderate,60,60,1.0,40,0.6667,60,1.0,40,0.6667,41,0.6833,42.6833
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp0.0,moderate,60,60,1.0,53,0.8833,60,1.0,53,0.8833,54,0.9,26.0167
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp1.0,moderate,60,60,1.0,53,0.8833,60,1.0,53,0.8833,53,0.8833,27.4
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp0.0,simple,60,60,1.0,51,0.85,60,1.0,51,0.85,51,0.85,83.6333
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,0_shot,temp1.0,simple,60,60,1.0,52,0.8667,60,1.0,52,0.8667,52,0.8667,168.6167
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp0.0,simple,60,60,1.0,53,0.8833,60,1.0,53,0.8833,53,0.8833,145.4667
cq_complexity__prompt_type__temperature_label,cq_complexity|prompt_type|temperature_label,,,cot,temp1.0,simple,60,60,1.0,55,0.9167,60,1.0,55,0.9167,55,0.9167,107.0167
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,axiom,0_shot,temp0.0,,60,60,1.0,39,0.65,60,1.0,39,0.65,38,0.6333,16.8333
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,axiom,0_shot,temp1.0,,60,59,0.9833,38,0.6333,59,0.9833,38,0.6333,38,0.6333,76.3167
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,axiom,cot,temp0.0,,60,60,1.0,47,0.7833,60,1.0,47,0.7833,47,0.7833,60.5833
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,axiom,cot,temp1.0,,60,59,0.9833,47,0.7833,58,0.9667,46,0.7667,47,0.7833,48.4667
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,nen,0_shot,temp0.0,,60,60,1.0,35,0.5833,60,1.0,35,0.5833,35,0.5833,39.7333
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,nen,0_shot,temp1.0,,60,60,1.0,36,0.6,60,1.0,36,0.6,36,0.6,120.2667
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,nen,cot,temp0.0,,60,60,1.0,40,0.6667,60,1.0,40,0.6667,41,0.6833,58.15
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,nen,cot,temp1.0,,60,60,1.0,39,0.65,59,0.9833,39,0.65,39,0.65,44.6167
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,ttl,0_shot,temp0.0,,60,59,0.9833,31,0.5167,59,0.9833,31,0.5167,31,0.5167,48.8167
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,ttl,0_shot,temp1.0,,60,60,1.0,35,0.5833,60,1.0,35,0.5833,36,0.6,19.3833
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,ttl,cot,temp0.0,,60,60,1.0,41,0.6833,60,1.0,41,0.6833,41,0.6833,59.8
representation__prompt_type__temperature_label,representation|prompt_type|temperature_label,,ttl,cot,temp1.0,,60,58,0.9667,43,0.7167,58,0.9667,43,0.7167,43,0.7167,49.4667
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,0_shot,,complex,10,10,1.0,6,0.6,10,1.0,6,0.6,5,0.5,7.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,cot,,complex,10,10,1.0,6,0.6,10,1.0,6,0.6,6,0.6,6.2
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,0_shot,,complex,10,10,1.0,6,0.6,10,1.0,6,0.6,6,0.6,8.1
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,cot,,complex,10,10,1.0,6,0.6,10,1.0,6,0.6,6,0.6,10.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,0_shot,,complex,10,10,1.0,4,0.4,10,1.0,4,0.4,4,0.4,5.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,cot,,complex,10,9,0.9,3,0.3,9,0.9,3,0.3,3,0.3,4.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,0_shot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,24.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,cot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,23.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,0_shot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,26.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,cot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,23.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,0_shot,,moderate,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,19.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,cot,,moderate,10,10,1.0,9,0.9,10,1.0,9,0.9,9,0.9,20.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,0_shot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,18.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,axiom,cot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,21.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,0_shot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,nen,cot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,21.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,0_shot,,simple,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_rich,ttl,cot,,simple,10,10,1.0,9,0.9,10,1.0,9,0.9,9,0.9,19.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,0_shot,,complex,10,9,0.9,1,0.1,9,0.9,1,0.1,1,0.1,2.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,cot,,complex,10,10,1.0,4,0.4,10,1.0,4,0.4,4,0.4,6.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,0_shot,,complex,10,10,1.0,3,0.3,10,1.0,3,0.3,3,0.3,5.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,cot,,complex,10,10,1.0,3,0.3,9,0.9,3,0.3,3,0.3,4.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,0_shot,,complex,10,10,1.0,2,0.2,10,1.0,2,0.2,2,0.2,4.1
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,cot,,complex,10,10,1.0,1,0.1,10,1.0,1,0.1,1,0.1,2.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,0_shot,,moderate,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,18.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,cot,,moderate,10,10,1.0,9,0.9,10,1.0,9,0.9,9,0.9,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,0_shot,,moderate,10,10,1.0,9,0.9,10,1.0,9,0.9,9,0.9,22.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,cot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,19.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,0_shot,,moderate,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,17.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,cot,,moderate,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,0_shot,,simple,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,14.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,axiom,cot,,simple,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,14.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,0_shot,,simple,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,nen,cot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,0_shot,,simple,10,10,1.0,8,0.8,10,1.0,8,0.8,8,0.8,14.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,core_scholar_shallow,ttl,cot,,simple,10,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,16.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,kwg,axiom,0_shot,,complex,10,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,0.0
kg__cq_complexity__representation__prompt_type,kg|cq_complexity|representation|prompt_type,kwg,axiom,cot,,complex,10,10,1.0,2,0.2,10,1.0,2,0.2,2,0.2,1.4
